Customer_ID,Name,Order_Frequency,Average_Time_Between_Orders,Lowest_Time_Between_Orders,has_peak,has_knife,has_pivot
C0001,John Smith,1,N/A,N/A,1,0,0
C0002,Jane Doe,2,200,200,1,1,0
C0003,Robert Johnson,1,N/A,N/A,0,0,1
C0004,Lucy Hernandez,3,130,60,1,1,1
C0005,Michael Brown,2,220,180,1,0,1
C0006,Linda Martinez,4,90,30,1,1,0
C0007,David Garcia,1,N/A,N/A,0,1,1
C0008,Sarah Wilson,1,N/A,N/A,1,0,0
C0009,Karen Taylor,2,190,190,0,1,1
C0010,Ryan Thomas,1,N/A,N/A,1,1,1
C0011,Richard Lee,2,210,150,1,0,1
C0012,Emily White,3,160,80,0,1,1
C0013,Aaron Harris,4,120,40,1,0,1
C0014,Natalie Martin,3,100,50,1,1,0
C0015,Peter Clark,1,N/A,N/A,1,0,0
C0016,Stephanie Lewis,2,240,240,1,1,1
C0017,Bruce Walker,1,N/A,N/A,0,1,0
C0018,Hannah Hall,1,N/A,N/A,0,0,1
C0019,Kevin Allen,2,230,210,1,1,0
C0020,Sophia Young,4,80,25,1,1,1
C0021,Tyler King,1,N/A,N/A,0,1,1
C0022,Madison Wright,2,185,185,1,0,1
C0023,Ethan Hill,3,140,70,1,1,0
C0024,Olivia Scott,1,N/A,N/A,1,0,0
C0025,Noah Green,4,150,50,0,1,1
C0026,Isabella Adams,2,200,180,1,0,0
C0027,Jacob Baker,3,170,90,1,1,1
C0028,Abigail Nelson,4,75,30,1,0,1
C0029,Liam Carter,1,N/A,N/A,0,1,0
C0030,Emma Mitchell,2,175,175,1,1,1
C0031,Lucas Roberts,1,N/A,N/A,1,1,0
C0032,Ava Turner,2,240,220,0,0,1
C0033,Mason Phillips,3,160,50,1,0,1
C0034,Charlotte Campbell,1,N/A,N/A,0,1,1
C0035,Elijah Parker,2,220,190,1,1,0
C0036,Amelia Evans,4,100,30,0,1,1
C0037,Oliver Edwards,1,N/A,N/A,1,0,0
C0038,Sofia Collins,1,N/A,N/A,1,1,1
C0039,William Stewart,2,200,200,0,1,0
C0040,Mia Sanchez,4,90,20,1,1,1
C0041,James Morris,3,110,40,1,1,1
C0042,Evelyn Rogers,4,140,45,0,0,1
C0043,Benjamin Reed,1,N/A,N/A,1,0,1
C0044,Harper Cook,2,210,200,1,1,0
C0045,Alexander Morgan,3,150,60,0,1,1
C0046,Ella Peterson,4,120,35,1,0,0
C0047,Daniel Bailey,1,N/A,N/A,0,1,1
C0048,Scarlett Rivera,2,190,170,1,1,1
C0049,Michael Richardson,3,100,30,1,0,1
C0050,Aria Cox,1,N/A,N/A,1,1,0
C0051,Jackson Howard,2,220,220,0,1,1
C0052,Grace Ward,3,180,90,1,1,1
C0053,Aiden Torres,4,130,50,1,0,1
C0054,Riley Ramirez,1,N/A,N/A,1,0,0
C0055,Joseph Flores,2,205,180,0,1,0
C0056,Victoria Kelly,4,60,20,1,1,1
C0057,Henry Brooks,1,N/A,N/A,0,0,1
C0058,Lillian Diaz,2,210,210,1,0,0
C0059,Owen Wood,3,170,60,1,1,0
C0060,Chloe Nguyen,4,150,40,1,0,1
C0061,Sebastian Gray,1,N/A,N/A,1,1,1
C0062,Eleanor Gomez,3,130,50,1,0,1
C0063,Carter Bennett,2,230,210,1,1,1
C0064,Penelope Ross,1,N/A,N/A,0,1,0
C0065,Wyatt Price,4,140,50,1,1,0
C0066,Hazel Foster,1,N/A,N/A,1,0,1
C0067,Julian Perry,2,180,160,0,1,1
C0068,Nora Brooks,3,120,40,1,1,1
C0069,Levi Bell,1,N/A,N/A,1,0,0
C0070,Zoey Murphy,2,185,185,1,1,0
C0071,Dylan Reed,4,100,25,1,0,1
C0072,Stella Cook,1,N/A,N/A,0,1,1
C0073,Caleb Rivera,3,150,80,1,1,1
C0074,Hannah Cooper,2,240,230,1,0,0
C0075,Owen Ward,4,70,20,1,1,1
C0076,Sadie King,1,N/A,N/A,1,0,1
C0077,Jackson Torres,2,195,195,1,1,1
C0078,Isla Ramirez,1,N/A,N/A,0,0,1
C0079,Jaxon Bailey,3,110,30,1,1,0
C0080,Elizabeth Walker,4,90,25,1,0,1
C0081,Jack Allen,1,N/A,N/A,1,1,1
C0082,Eva Hernandez,2,200,180,0,1,1
C0083,Leo Scott,3,170,70,1,0,1
C0084,Ellie Wright,1,N/A,N/A,1,1,0
C0085,Isaac Thomas,4,140,40,1,1,1
C0086,Claire Young,1,N/A,N/A,0,1,0
